issue,year,n,prop,prop_lib,prop_cons
abdefect,1972,1526,0.7857142857142857,NA,NA
abhlth,1972,1539,0.8693957115009746,NA,NA
abnomore,1972,1528,0.39725130890052357,NA,NA
abpoor,1972,1507,0.4877239548772396,NA,NA
abrape,1972,1512,0.791005291005291,NA,NA
absingle,1972,1502,0.43541944074567246,NA,NA
busing,1972,1544,0.202720207253886,NA,NA
colath,1972,1538,0.4187256176853056,NA,NA
colcom,1972,1497,0.3460253841015364,NA,NA
fework,1972,1577,0.6537729866835764,NA,NA
gunlaw,1972,1562,0.7240717029449424,NA,NA
libath,1972,1552,0.6282216494845361,NA,NA
libcom,1972,1532,0.5554830287206266,NA,NA
premarsx,1972,1537,0.5152895250487963,NA,NA
racfew,1972,1338,0.9282511210762332,NA,NA
rachaf,1972,1213,0.8219291014014839,NA,NA
racmost,1972,963,0.5835929387331257,NA,NA
racseg,1972,1253,0.5985634477254589,NA,NA
spkath,1972,1576,0.6656091370558376,NA,NA
spkcom,1972,1556,0.5366323907455013,NA,NA
abdefect,1973,1464,0.8449453551912568,NA,NA
abhlth,1973,1476,0.9227642276422764,NA,NA
abnomore,1973,1453,0.4769442532690984,NA,NA
abpoor,1973,1456,0.5343406593406593,NA,NA
abrape,1973,1451,0.8352860096485183,NA,NA
absingle,1973,1450,0.4910344827586207,NA,NA
colath,1973,1452,0.4201101928374656,NA,NA
colcom,1973,1408,0.41548295454545453,NA,NA
colhomo,1973,1438,0.4944367176634214,NA,NA
grass,1973,1471,0.18694765465669613,NA,NA
gunlaw,1973,1470,0.7476190476190476,NA,NA
hitbeatr,1973,982,0.12932790224032586,NA,NA
hitchild,1973,981,0.5208970438328236,NA,NA
hitdrunk,1973,986,0.8985801217038539,NA,NA
hitmarch,1973,997,0.9418254764292878,NA,NA
hitok,1973,1471,0.33242692046227057,NA,NA
hitrobbr,1973,998,0.13527054108216433,NA,NA
homosex,1973,1417,0.1898376852505293,NA,NA
libath,1973,1471,0.6220258327668253,NA,NA
libcom,1973,1463,0.5987696514012304,NA,NA
libhomo,1973,1463,0.5495557074504442,NA,NA
polabuse,1973,1106,0.7730560578661845,NA,NA
polattak,1973,1119,0.03038427167113494,NA,NA
polescap,1973,1102,0.11887477313974591,NA,NA
polhitok,1973,1469,0.25731790333560245,NA,NA
polmurdr,1973,1107,0.9150858175248419,NA,NA
pornlaw,1973,1469,0.09394145677331518,NA,NA
spkath,1973,1493,0.6577361018084393,NA,NA
spkcom,1973,1468,0.611716621253406,NA,NA
spkhomo,1973,1445,0.6318339100346021,NA,NA
xmarsex,1973,1491,0.15694164989939638,NA,NA
abdefect,1974,1440,0.8513888888888889,0.8666666666666667,0.8103448275862069
abhlth,1974,1452,0.9242424242424242,0.9385342789598109,0.9066339066339066
abnomore,1974,1411,0.46917080085046065,0.5693430656934306,0.43112244897959184
abpoor,1974,1417,0.547635850388144,0.6370192307692307,0.5063613231552163
abrape,1974,1420,0.8647887323943662,0.8942307692307693,0.8244274809160306
absingle,1974,1420,0.5007042253521127,0.6052631578947368,0.46446700507614214
busing,1974,1427,0.20882971268395234,0.2713936430317848,0.14356435643564355
cappun,1974,1404,0.33547008547008544,0.4628712871287129,0.2512690355329949
colath,1974,1429,0.4331700489853044,0.5639810426540285,0.3613861386138614
colcom,1974,1389,0.44420446364290855,0.6308068459657702,0.3248730964467005
colhomo,1974,1404,0.5299145299145299,0.6594202898550725,0.46582278481012657
fehome,1974,1431,0.6443046820405312,0.7597087378640777,0.5816831683168316
fework,1974,1449,0.6915113871635611,0.7440758293838863,0.6650246305418719
gunlaw,1974,1459,0.7621658670322139,0.812206572769953,0.7199017199017199
homosex,1974,1361,0.21675238795003673,0.3620253164556962,0.13421052631578947
libath,1974,1445,0.613840830449827,0.7051886792452831,0.5696821515892421
libcom,1974,1427,0.6068675543097407,0.7200956937799043,0.5635910224438903
libhomo,1974,1421,0.5721323011963406,0.6770334928229665,0.5213032581453634
premarsx,1974,1429,0.543037088873338,0.7326968973747017,0.39097744360902253
racfew,1974,1288,0.9479813664596274,0.9551820728291317,0.9496021220159151
rachaf,1974,1187,0.7489469250210615,0.8126888217522659,0.6883852691218131
racmost,1974,861,0.5272938443670151,0.5731225296442688,0.502092050209205
sexeduc,1974,1422,0.8220815752461322,0.8625592417061612,0.7791878172588832
spkath,1974,1462,0.6258549931600548,0.7411764705882353,0.6112469437652812
spkcom,1974,1439,0.595552466990966,0.7139479905437353,0.556930693069307
spkhomo,1974,1416,0.6532485875706214,0.7410926365795725,0.6030534351145038
wirtap,1974,1424,0.8279494382022472,0.8968824940047961,0.7512437810945274
xmarsex,1974,1460,0.1404109589041096,0.23809523809523808,0.06796116504854369
abdefect,1975,1438,0.8317107093184979,0.8645320197044335,0.7881773399014779
abhlth,1975,1449,0.906832298136646,0.9221411192214112,0.8960396039603961
abnomore,1975,1426,0.45722300140252453,0.571078431372549,0.4114713216957606
abpoor,1975,1416,0.5317796610169492,0.6253101736972705,0.48129675810473815
abrape,1975,1422,0.8368495077355836,0.8574938574938575,0.8153846153846154
absingle,1975,1414,0.4823196605374823,0.5911330049261084,0.44416243654822335
busing,1975,1417,0.1806633733239238,0.2708860759493671,0.10617283950617284
cappun,1975,1383,0.3557483731019523,0.4531645569620253,0.2741514360313316
fehome,1975,1446,0.6438450899031812,0.7360774818401937,0.6492537313432836
fework,1975,1462,0.7106703146374829,0.7864077669902912,0.6973365617433414
grass,1975,1414,0.21287128712871287,0.3728395061728395,0.14936708860759493
gunlaw,1975,1450,0.7558620689655172,0.7858880778588808,0.7128712871287128
helpblk,1975,1137,0.32189973614775724,0.47147147147147145,0.24471299093655588
helppoor,1975,930,0.624731182795699,0.7806691449814126,0.40293040293040294
helpsick,1975,1030,0.6990291262135923,0.8313253012048193,0.564748201438849
hitbeatr,1975,1019,0.15407262021589793,0.17028985507246377,0.12956810631229235
hitchild,1975,1041,0.5254562920268973,0.5567375886524822,0.5518394648829431
hitdrunk,1975,1054,0.926944971537002,0.9653979238754326,0.9019607843137255
hitmarch,1975,1062,0.9698681732580038,0.9827586206896551,0.9805194805194806
hitok,1975,1430,0.2846153846153846,0.3160493827160494,0.24938271604938272
hitrobbr,1975,1060,0.09056603773584905,0.10877192982456141,0.07051282051282051
polabuse,1975,1102,0.7994555353901996,0.8662207357859532,0.756838905775076
polattak,1975,1133,0.01500441306266549,0.009900990099009901,0.017341040462427744
polescap,1975,1101,0.11171662125340599,0.12203389830508475,0.06547619047619048
polhitok,1975,1423,0.2410400562192551,0.2804878048780488,0.16748768472906403
polmurdr,1975,1116,0.9229390681003584,0.9368770764119602,0.9074626865671642
pornlaw,1975,1471,0.10876954452753229,0.17266187050359713,0.09975669099756691
premarsx,1975,1427,0.5676243868255081,0.6970443349753694,0.4801980198019802
racfew,1975,1304,0.9309815950920245,0.9371428571428572,0.9308510638297872
rachaf,1975,1183,0.7709213863060017,0.8025078369905956,0.7434402332361516
racmost,1975,887,0.552423900789177,0.573170731707317,0.5161290322580645
sexeduc,1975,1433,0.7927424982554082,0.8619854721549637,0.7680798004987531
wirtap,1975,1428,0.8305322128851541,0.8623188405797102,0.7711442786069652
abdefect,1976,1457,0.8393960192175703,0.8553299492385786,0.8427230046948356
abhlth,1976,1464,0.9077868852459017,0.9225,0.9084507042253521
abnomore,1976,1447,0.4616447823082239,0.5673575129533679,0.4235294117647059
